mo,community
Большемурашкинский муниципальный округ,0
Большемуртинский муниципальный район,3
Большереченский муниципальный район,5
Большесельский муниципальный район,0
Большеуковский муниципальный район,0
Большеулуйский муниципальный район,10
Большечерниговский муниципальный район,3
Бондарский муниципальный округ,0
Борзинский муниципальный район,6
Борисоглебский муниципальный район,3
Боровичский муниципальный район,6
Боровский муниципальный район,6
Борский муниципальный район,3
Боханский муниципальный район,5
Братский муниципальный район,10
Брединский муниципальный район,0
Брейтовский муниципальный район,0
Бугульминский муниципальный район,9
Бугурусланский муниципальный район,5
Будённовский муниципальный округ,6
Буздякский муниципальный район,5
Буинский муниципальный район,5
Буйский муниципальный район,3
Булунский муниципальный район,11
Бураевский муниципальный район,5
Бурейский муниципальный округ,6
Бурзянский муниципальный район,5
Бурлинский муниципальный район,0
Бутурлинский муниципальный округ,3
Быковский муниципальный район,3
Быстроистокский муниципальный район,3
Вагайский муниципальный район,3
Вадинский муниципальный район,0
Вадский муниципальный округ,0
Валдайский муниципальный район,10
Ванинский муниципальный район,11
Варгашинский муниципальный округ,0
Варнавинский муниципальный округ,0
Варненский муниципальный район,3
Вачский муниципальный округ,0
Велижский муниципальный район,3
Великоустюгский муниципальный округ,6
Вельский муниципальный район,6
Венгеровский муниципальный район,0
Веневский муниципальный район,10
Верхнебуреинский муниципальный район,11
Верхневилюйский муниципальный район,11
Верхнекетский муниципальный район,3
Верхнеколымский муниципальный район,11
Верхнетоемский муниципальный округ,0
Верхнеуральский муниципальный район,3
Верхнеуслонский муниципальный район,6
Верховажский муниципальный округ,0
Верховский муниципальный район,10
Верхошижемский муниципальный район,0
Верхоянский муниципальный район,11
Ветлужский муниципальный округ,0
Вешкаймский муниципальный район,3
Викуловский муниципальный район,6
Вилюйский муниципальный район,11
Виноградовский муниципальный округ,3
Вичугский муниципальный район,10
Вожегодский муниципальный округ,3
Вознесенский муниципальный округ,0
Вологодский муниципальный округ,6
Володарский муниципальный округ,10
Волосовский муниципальный район,10
Волховский муниципальный район,6
Волчихинский муниципальный район,3
Вольский муниципальный район,6
Воскресенский муниципальный округ,3
Воскресенский муниципальный район,0
Вохомский муниципальный район,0
Всеволожский муниципальный район,8
Вурнарский муниципальный округ,5
Выборгский муниципальный район,9
Высокогорский муниципальный район,9
Вытегорский муниципальный район,3
Вязниковский муниципальный район,6
Вятскополянский муниципальный район,10
Гаврилов-Ямский муниципальный район,10
Гаврилово-Посадский муниципальный район,3
Гавриловский муниципальный округ,0
Гагаринский муниципальный район,10
Гагинский муниципальный округ,0
Газимуро-Заводский муниципальный округ,11
Галичский муниципальный район,0
Гатчинский муниципальный район,9
Гафурийский муниципальный район,5
Гдовский муниципальный район,6
Георгиевский муниципальный округ,6
Гиагинский муниципальный район,10
Глазуновский муниципальный район,3
Глинковский муниципальный район,0
Горномарийский муниципальный район,5
Горный муниципальный район,11
Городецкий муниципальный округ,6
Городовиковский муниципальный район,0
Гороховецкий муниципальный район,0
Горьковский муниципальный район,3
Грачёвский муниципальный округ,3
Грачёвский муниципальный район,0
Грязинский муниципальный район,10
Грязовецкий муниципальный округ,10
Гурьевский муниципальный округ,6
Гусь-Хрустальный муниципальный район,10
Давлекановский муниципальный район,5
Далматовский муниципальный округ,0
Дальнеконстантиновский муниципальный округ,10
Дальнереченский муниципальный район,6
Данковский муниципальный район,3
Даровской муниципальный район,0
Дедовичский муниципальный район,3
Демидовский муниципальный район,3
Дергачевский муниципальный район,3
Дзун-Хемчикский муниципальный район,6
Дивеевский муниципальный округ,3
Дигорский муниципальный район,1
Дновский муниципальный район,10
Добринский муниципальный район,3
Добровский муниципальный район,3
Доволенский муниципальный район,3
Долгоруковский муниципальный район,3
Должанский муниципальный район,0
Домбаровский муниципальный район,3
Дорогобужский муниципальный район,10
Дрожжановский муниципальный район,5
Дубовский муниципальный район,5
Дуванский муниципальный район,6
Дульдургинский муниципальный район,6
Думиничский муниципальный район,0
Духовницкий муниципальный район,5
Духовщинский муниципальный район,0
Дюртюлинский муниципальный район,9
Егорьевский муниципальный район,10
Екатериновский муниципальный район,0
Елабужский муниципальный район,9
Еланский муниципальный район,3
Елизовский муниципальный район,11
Елховский муниципальный район,0
Ельниковский муниципальный район,0
Ельнинский муниципальный район,3
Ельцовский муниципальный район,5
Еманжелинский муниципальный район,10
Емельяновский муниципальный район,9
Енисейский муниципальный район,10
Енотаевский муниципальный район,3
Ермаковский муниципальный район,3
Ермекеевский муниципальный район,5
Ермишинский муниципальный район,5
Ершичский муниципальный район,0
Ершовский муниципальный район,3
Еткульский муниципальный район,3
Жердевский муниципальный округ,3
Жигаловский муниципальный район,6
Жиздринский муниципальный район,3
Жирновский муниципальный район,3
Жуковский муниципальный район,10
Забайкальский муниципальный район,6
Завитинский муниципальный округ,6
Заволжский муниципальный район,3
Завьяловский муниципальный район,0
Задонский муниципальный район,3
Заинский муниципальный район,5
Заларинский муниципальный район,3
Залегощенский муниципальный район,3
Залесовский муниципальный округ,0
Заокский муниципальный район,10
Захаровский муниципальный район,3
Звениговский муниципальный район,3
Звериноголовский муниципальный округ,0
Здвинский муниципальный район,3
Зейский муниципальный округ,11
Зеленодольский муниципальный район,9
Зеленчукский муниципальный район,1
Земетчинский муниципальный район,0
Зианчуринский муниципальный район,5
Зилаирский муниципальный район,5
Зиминский муниципальный район,3
Змеиногорский муниципальный район,5
Знаменский муниципальный округ,3
Зональный муниципальный район,10
Зубово-Полянский муниципальный район,3
Зуевский муниципальный район,0
Зырянский муниципальный район,0
Ибресинский муниципальный округ,5
Ивановский муниципальный округ,6
Ивановский муниципальный район,9
Ивантеевский муниципальный район,0
Иглинский муниципальный район,6
Идринский муниципальный район,0
Ижемский муниципальный район,3
Ижморский муниципальный округ,3
Измалковский муниципальный район,0
Износковский муниципальный район,0
Изобильненский муниципальный округ,10
Икрянинский муниципальный район,3
Иланский муниципальный район,3
Илекский муниципальный район,3
Илишевский муниципальный район,5
Иловлинский муниципальный район,5
Ильинский муниципальный район,0
Инжавинский муниципальный округ,0
Инзенский муниципальный район,5
Инсарский муниципальный район,3
Ипатовский муниципальный округ,3
Ирафский муниципальный район,1
Ирбейский муниципальный район,0
Иркутский муниципальный район,9
Исаклинский муниципальный район,0
Исетский муниципальный район,3
Исилькульский муниципальный район,3
Искитимский муниципальный район,10
Иссинский муниципальный район,0
Ичалковский муниципальный район,0
Ишимбайский муниципальный район,9
Ишимский муниципальный район,6
Каа-Хемский муниципальный район,6
Кавалеровский муниципальный округ,6
Кадомский муниципальный район,0
Кадошкинский муниципальный район,0
Кадуйский муниципальный округ,10
Кадыйский муниципальный район,0
Казанский муниципальный район,0
Казачинский муниципальный район,5
Казачинско-Ленский муниципальный район,10
Кайбицкий муниципальный район,5
Каларский муниципальный округ,11
Калачевский муниципальный район,10
Калачинский муниципальный район,3
Калганский муниципальный округ,6
Калевальский муниципальный район,12
Калининский муниципальный район,3
Калманский муниципальный район,10
Калтасинский муниципальный район,5
Камешкирский муниципальный район,0
Камешковский муниципальный район,10
Камско-Устьинский муниципальный район,0
Камызякский муниципальный район,3
Камышлинский муниципальный район,5
Камышловский муниципальный район,11
Кандалакшский муниципальный район,11
Карагинский муниципальный район,11
Караидельский муниципальный район,5
Карасукский муниципальный район,6
Каратузский муниципальный район,0
Каргапольский муниципальный округ,3
Каргасокский муниципальный район,0
Каргатский муниципальный район,3
Кардымовский муниципальный район,10
Кармаскалинский муниципальный район,5
Карсунский муниципальный район,3
Карталинский муниципальный район,3
Карымский муниципальный район,9
Касимовский муниципальный район,3
Каслинский муниципальный район,3
Катав-Ивановский муниципальный район,3
Катайский муниципальный округ,3
Катангский муниципальный район,11
Качугский муниципальный район,3
Кваркенский муниципальный район,0
Кежемский муниципальный район,10
Кемеровский муниципальный округ,9
Кемский муниципальный район,10
Кигинский муниципальный район,5
Кизильский муниципальный район,10
Киквидзенский муниципальный район,0
Килемарский муниципальный район,3
Кильмезский муниципальный район,0
Кимовский муниципальный район,3
Кингисеппский муниципальный район,11
Кинель-Черкасский муниципальный район,3
Кинельский муниципальный район,3
Кинешемский муниципальный район,3
Киреевский муниципальный район,10
Киренский муниципальный район,10
Киржачский муниципальный район,6
Кирилловский муниципальный округ,3
Киришский муниципальный район,9
Кирово-Чепецкий муниципальный район,6
Кировский муниципальный округ,3
Кичменгско-Городецкий муниципальный округ,6
Клепиковский муниципальный район,3
Клетский муниципальный район,0
Ключевский муниципальный район,5
Клявлинский муниципальный район,0
Княгининский муниципальный округ,3
Княжпогостский муниципальный район,10
Кобяйский муниципальный район,11
Ковдорский муниципальный округ,11
Ковернинский муниципальный округ,3
Ковылкинский муниципальный район,5
Кожевниковский муниципальный район,0
Козельский муниципальный район,10
Козловский муниципальный округ,3
Козульский муниципальный район,0
Койгородский муниципальный район,0
Кологривский муниципальный округ,0
Колосовский муниципальный район,0
Колпашевский муниципальный район,3
Колпнянский муниципальный район,3
Колыванский муниципальный район,3
Колышлейский муниципальный район,0
Кольский муниципальный район,10
Кольчугинский муниципальный район,6
Комсомольский муниципальный округ,5
Кондинский муниципальный район,10
Кондопожский муниципальный район,10
Коношский муниципальный район,10
Константиновский муниципальный район,6
Кораблинский муниципальный район,0
Коркинский муниципальный округ,6
Кормиловский муниципальный район,0
Корткеросский муниципальный район,0
Косихинский муниципальный район,5
Костромской муниципальный район,6
Котельниковский муниципальный район,3
Котельничский муниципальный район,0
Котласский муниципальный округ,3
Котовский муниципальный район,5
Коченевский муниципальный район,10
Кочковский муниципальный район,0
Кочубеевский муниципальный округ,3
Кош-Агачский муниципальный район,6
Кошехабльский муниципальный район,6
Кошкинский муниципальный район,3
Крапивинский муниципальный округ,3
Краснобаковский муниципальный округ,3
Красноборский муниципальный округ,3
Красногвардейский муниципальный округ,3
Красногорский муниципальный район,3
Краснозерский муниципальный район,3
Краснозоренский муниципальный район,0
Краснокамский муниципальный район,5
Краснокутский муниципальный район,5
Краснооктябрьский муниципальный округ,0
Краснопартизанский муниципальный район,3
Красносельский муниципальный район,10
Краснослободский муниципальный район,5
Краснотуранский муниципальный район,3
Красночетайский муниципальный округ,5
Красночикойский муниципальный район,6
Краснощёковский муниципальный район,5
Кривошеинский муниципальный район,0
Кромской муниципальный район,10
Крутинский муниципальный район,0
Крутихинский муниципальный район,0
Кстовский муниципальный округ,9
Кугарчинский муниципальный район,5
Куженерский муниципальный район,3
Кузоватовский муниципальный район,3
Куйтунский муниципальный район,3
Кукморский муниципальный район,5
Кулундинский муниципальный район,3
Куменский муниципальный район,10
Кумылженский муниципальный район,3
Кунашакский муниципальный район,3
Купинский муниципальный район,3
Курагинский муниципальный район,0
Куркинский муниципальный район,0
Курманаевский муниципальный район,0
Курский муниципальный округ,1
Куртамышский муниципальный округ,0
Курьинский муниципальный район,0
Кусинский муниципальный район,5
Кушнаренковский муниципальный район,5
Кызылский муниципальный район,6
Кыринский муниципальный район,3
Кытмановский муниципальный район,3
Кыштовский муниципальный район,0
Лаганский муниципальный район,0
Лазовский муниципальный округ,2
Лаишевский муниципальный район,9
Лахденпохский муниципальный район,10
Лебедянский муниципальный район,3
Лебяжьевский муниципальный округ,0
Лев-Толстовский муниципальный район,3
Левокумский муниципальный округ,3
Лежневский муниципальный район,0
Лениногорский муниципальный район,9
Лиманский муниципальный район,3
Ловозерский муниципальный район,10
Лодейнопольский муниципальный район,6
Локтевский муниципальный район,5
Ломоносовский муниципальный район,9
Лопатинский муниципальный район,0
Лоухский муниципальный район,10
Лужский муниципальный район,9
Лукояновский муниципальный округ,0
Лунинский муниципальный район,0
Лухский муниципальный район,0
Лысковский муниципальный округ,10
Лысогорский муниципальный район,0
Любимский муниципальный район,10
Любинский муниципальный район,10
Любытинский муниципальный район,3
Людиновский муниципальный район,10
Лямбирский муниципальный район,6
Магдагачинский муниципальный район,6
Мазановский муниципальный район,6
Майкопский муниципальный район,6
Майминский муниципальный район,9
Майнский муниципальный район,0
Майский муниципальный район,3
Макарьевский муниципальный район,0
Малмыжский муниципальный район,0
Малоархангельский муниципальный район,0
Маловишерский муниципальный район,10
Малодербетовский муниципальный район,0
Малосердобинский муниципальный район,0
Малоярославецкий муниципальный район,6
Мамадышский муниципальный район,5
Мамонтовский муниципальный район,0
Манский муниципальный район,3
Мантуровский муниципальный округ,0
Мари-Турекский муниципальный район,3
Мариинский муниципальный округ,6
Мариинско-Посадский муниципальный округ,5
Марксовский муниципальный район,10
Марьяновский муниципальный район,3
Маслянинский муниципальный район,3
Матвеевский муниципальный район,3
Мегино-Кангаласский муниципальный район,11
Медведевский муниципальный район,9
Медвежьегорский муниципальный район,10
Медынский муниципальный район,3
Междуреченский муниципальный округ,0
Межевской муниципальный округ,0
Мезенский муниципальный округ,0
Меленковский муниципальный район,3
Мелеузовский муниципальный район,9
Менделеевский муниципальный район,5
Мензелинский муниципальный район,5
Мечетлинский муниципальный район,5
Мещовский муниципальный район,0
Милославский муниципальный район,0
Мильковский муниципальный округ,11
Минераловодский муниципальный округ,9
Мирнинский муниципальный район,11
Мишкинский муниципальный округ,0
Мишкинский муниципальный район,5
Миякинский муниципальный район,5
Могойтуйский муниципальный район,6
Могочинский муниципальный округ,6
Моздокский муниципальный район,6
Мокроусовский муниципальный округ,0
Мокшанский муниципальный район,5
Молчановский муниципальный район,0
Монастырщинский муниципальный район,5
Моргаушский муниципальный округ,5
Мордовский муниципальный округ,0
Моркинский муниципальный район,5
Мосальский муниципальный район,3
Москаленский муниципальный район,3
Мотыгинский муниципальный район,10
Мошковский муниципальный район,6
Муезерский муниципальный район,10
Муромцевский муниципальный район,3
Муслюмовский муниципальный район,5
Мучкапский муниципальный округ,3
Мышкинский муниципальный район,10
Нагайбакский муниципальный район,0
Нагорский муниципальный район,5
Надеждинский муниципальный район,11
Называевский муниципальный район,0
Намский муниципальный район,11
Нанайский муниципальный район,10
Наримановский муниципальный район,9
Наровчатский муниципальный район,0
Неверкинский муниципальный район,0
Нейский муниципальный округ,0
Некоузский муниципальный район,3
Некрасовский муниципальный район,0
Немецкий национальный муниципальный район,0
Нерчинский муниципальный район,6
Нерюнгринский муниципальный район,11
Нефтегорский муниципальный район,10
Нефтекумский муниципальный округ,3
Нефтеюганский муниципальный район,11
Нехаевский муниципальный район,0
Нижневартовский муниципальный район,10
Нижнеилимский муниципальный район,10
Нижнеингашский муниципальный район,0
Нижнекамский муниципальный район,9
Нижнеколымский муниципальный район,11
Нижнеломовский муниципальный район,3
Нижнеомский муниципальный район,0
Нижнесергинский муниципальный район,3
Нижнетавдинский муниципальный район,0
Нижнеудинский муниципальный район,6
Никифоровский муниципальный округ,5
Никольский муниципальный округ,3
Никольский муниципальный район,3
Новгородский муниципальный район,9
Новичихинский муниципальный район,0
Новоалександровский муниципальный округ,3
Новоаннинский муниципальный район,6
Новобурасский муниципальный район,0
Нововаршавский муниципальный район,5
Новодеревеньковский муниципальный район,0
Новодугинский муниципальный район,0
Новониколаевский муниципальный район,0
Новоорский муниципальный район,10
Новоселицкий муниципальный округ,0
Новоселовский муниципальный район,3
Новосергиевский муниципальный район,3
Новосибирский муниципальный район,9
Новосильский муниципальный район,3
Новосокольнический муниципальный район,0
Новоспасский муниципальный район,3
Новоторъяльский муниципальный район,5
Новоузенский муниципальный район,6
Новошешминский муниципальный район,3
Нолинский муниципальный район,5
Нукутский муниципальный район,3
Нуримановский муниципальный район,5
Нурлатский муниципальный район,5
Нюксенский муниципальный округ,6
Нюрбинский муниципальный район,11
Нязепетровский муниципальный район,0
Няндомский муниципальный округ,10
Облученский муниципальный район,11
Одесский муниципальный район,0
Одоевский муниципальный район,3
Озинский муниципальный район,3
Оймяконский муниципальный район,11
Оконешниковский муниципальный район,0
Октябрьский муниципальный округ,6
Окуловский муниципальный район,3
Олекминский муниципальный район,11
Оленекский эвенкийский национальный муниципальный район,11
Оловяннинский муниципальный район,6
Олонецкий муниципальный район,10
Ольгинский муниципальный округ,6
Ольховский муниципальный район,3
Ольхонский муниципальный район,6
Олюторский муниципальный район,11
Омский муниципальный район,9
Омутинский муниципальный район,0
Омутнинский муниципальный район,10
Онгудайский муниципальный район,6
Онежский муниципальный район,10
Ононский муниципальный округ,6
Орджоникидзевский муниципальный район,0
Ордынский муниципальный район,3
Оричевский муниципальный район,3
Орловский муниципальный район,3
Оршанский муниципальный район,0
Осинский муниципальный район,5
Островский муниципальный округ,0
Островский муниципальный район,10
Охотский муниципальный округ,11
Павинский муниципальный округ,0
Павловский муниципальный округ,6
Павлоградский муниципальный район,0
Палехский муниципальный район,0
Палласовский муниципальный район,3
Панкрушихинский муниципальный район,0
Парабельский муниципальный район,10
Параньгинский муниципальный район,3
Партизанский муниципальный округ,6
Партизанский муниципальный район,0
Парфеньевский муниципальный округ,0
Парфинский муниципальный район,3
Пачелмский муниципальный район,0
Пензенский муниципальный район,9
Первомайский муниципальный округ,3
Переволоцкий муниципальный район,3
Перелюбский муниципальный район,0
Пестравский муниципальный район,0
Пестречинский муниципальный район,9
Пестяковский муниципальный район,0
Петровск-Забайкальский муниципальный район,6
Петровский муниципальный район,5
Петропавловский муниципальный район,0
Петуховский муниципальный округ,0
Петушинский муниципальный район,6
Печенгский муниципальный округ,11
Пий-Хемский муниципальный район,6
Пильнинский муниципальный округ,0
Пировский муниципальный округ,0
Пителинский муниципальный район,0
Питерский муниципальный район,0
Питкярантский муниципальный округ,10
Пичаевский муниципальный округ,0
Плавский муниципальный район,10
Пластовский муниципальный район,10
Плесецкий муниципальный округ,10
Плюсский муниципальный район,3
Пограничный муниципальный округ,6
Поддорский муниципальный район,0
Подосиновский муниципальный район,3
Подпорожский муниципальный район,10
Пожарский муниципальный округ,6
Покровский муниципальный район,3
Половинский муниципальный округ,0
Полтавский муниципальный район,0
Поназыревский муниципальный округ,3
Пономарёвский муниципальный район,3
Порецкий муниципальный округ,3
Порховский муниципальный район,10
Поспелихинский муниципальный район,5
Похвистневский муниципальный район,0
Починковский муниципальный округ,6
Починковский муниципальный район,3
Пошехонский муниципальный район,3
Правобережный муниципальный район,1
Предгорный муниципальный округ,6
Приаргунский муниципальный округ,6
Прилузский муниципальный район,0
Приморский муниципальный округ,11
Приозерский муниципальный район,6
Прионежский муниципальный район,11
Притобольный муниципальный округ,0
Прокопьевский муниципальный округ,6
Промышленновский муниципальный округ,6
Пронский муниципальный район,5
Пряжинский муниципальный район,10
Псковский муниципальный район,9
Пугачевский муниципальный район,3
Пудожский муниципальный район,3
Пустошкинский муниципальный район,0
Путятинский муниципальный округ,3
Пучежский муниципальный район,0
Пушкиногорский муниципальный район,3
Пыщугский муниципальный округ,5
Радищевский муниципальный район,0
Ребрихинский муниципальный район,0
Ржаксинский муниципальный округ,3
Ровенский муниципальный район,5
Родинский муниципальный район,0
Родниковский муниципальный район,10
Ромненский муниципальный округ,3
Ромодановский муниципальный район,3
Рославльский муниципальный район,6
Ростовский муниципальный район,10
Ртищевский муниципальный район,3
Рузаевский муниципальный район,6
Русско-Полянский муниципальный район,0
Рыбновский муниципальный район,10
Ряжский муниципальный округ,3
Рязанский муниципальный район,6
Сабинский муниципальный район,5
Савинский муниципальный район,4
Сакмарский муниципальный район,10
Салаватский муниципальный район,5
Самойловский муниципальный район,0
Сампурский муниципальный округ,0
Сапожковский муниципальный район,0
Сараевский муниципальный район,0
Саракташский муниципальный район,5
Саргатский муниципальный район,3
Сармановский муниципальный район,5
Сарпинский муниципальный район,5
Саткинский муниципальный район,6
Сафакулевский муниципальный округ,3
Сафоновский муниципальный район,10
Саянский муниципальный район,0
Свердловский муниципальный район,10
Светлинский муниципальный район,10
Светлоярский муниципальный район,6
Свободненский муниципальный район,9
Себежский муниципальный район,3
Северо-Енисейский муниципальный район,11
Сегежский муниципальный округ,10
Седельниковский муниципальный район,0
Селемджинский муниципальный район,11
Селивановский муниципальный район,10
Сенгилеевский муниципальный район,3
Серафимовичский муниципальный район,3
Сергачский муниципальный округ,3
Сергиевский муниципальный район,3
Сердобский муниципальный район,3
Сернурский муниципальный район,5
Серышевский муниципальный округ,6
Сеченовский муниципальный округ,0
Сковородинский муниципальный округ,6
Сладковский муниципальный район,0
Сланцевский муниципальный район,10
Слободо-Туринский муниципальный район,3
Слободской муниципальный район,5
Слюдянский муниципальный район,6
Смидовичский муниципальный район,6
Собинский муниципальный район,10
Соболевский муниципальный район,11
Советский муниципальный округ,3
Советско-Гаванский муниципальный район,11
Сокольский муниципальный округ,6
Солигаличский муниципальный округ,0
Солнечный муниципальный район,11
Солонешенский муниципальный район,0
Солтонский муниципальный район,0
Сорокинский муниципальный район,3
Сортавальский муниципальный район,6
Сосновоборский муниципальный район,5
Сосновский муниципальный район,9
Спас-Деменский муниципальный район,5
Спасский муниципальный округ,3
Среднеахтубинский муниципальный район,6
Среднеколымский муниципальный район,11
Сретенский муниципальный район,6
Ставропольский муниципальный район,11
Становлянский муниципальный район,3
Старожиловский муниципальный район,0
Старокулаткинский муниципальный район,0
Старомайнский муниципальный район,3
Старополтавский муниципальный район,3
Старорусский муниципальный район,10
Старошайговский муниципальный район,0
Староюрьевский муниципальный округ,0
Степновский муниципальный округ,0
Стерлибашевский муниципальный район,5
Стерлитамакский муниципальный район,9
Суворовский муниципальный район,3
Судиславский муниципальный район,3
Судогодский муниципальный район,3
Суздальский муниципальный район,6
Сузунский муниципальный район,6
Сунский муниципальный район,0
Сунтарский муниципальный район,11
Суоярвский муниципальный округ,10
Сургутский муниципальный район,11
Суровикинский муниципальный район,3
Сурский муниципальный район,5
Сусанинский муниципальный район,0
Сухиничский муниципальный район,3
Сухобузимский муниципальный район,0
Сызранский муниципальный район,6
Сыктывдинский муниципальный район,6
Сысольский муниципальный район,3
Сычевский муниципальный район,0
Сямженский муниципальный округ,0
Таборинский муниципальный район,3
Табунский муниципальный район,0
Таврический муниципальный район,3
Таймырский Долгано-Ненецкий муниципальный район,11
Тайшетский муниципальный район,6
Тальменский муниципальный район,3
Тамалинский муниципальный район,3
Тандинский муниципальный район,6
Тарногский муниципальный округ,0
Тарский муниципальный район,6
Тарусский муниципальный район,10
Тасеевский муниципальный район,0
Татарский муниципальный район,3
Татищевский муниципальный район,3
Таттинский муниципальный район,11
Татышлинский муниципальный район,5
Тахтамукайский муниципальный район,9
Ташлинский муниципальный район,5
Таштагольский муниципальный район,6
Таштыпский муниципальный район,6
Тевризский муниципальный район,0
Тегульдетский муниципальный район,0
Тейковский муниципальный район,3
Темкинский муниципальный район,0
Темниковский муниципальный район,3
Теньгушевский муниципальный район,0
Тепло-Огаревский муниципальный район,3
Тербунский муниципальный район,3
Тереньгульский муниципальный район,0
Тернейский муниципальный округ,3
Тетюшский муниципальный район,3
Теучежский муниципальный район,9
Тигильский муниципальный район,11
Тисульский муниципальный округ,3
Тихвинский муниципальный район,9
Тогульский муниципальный район,3
Тогучинский муниципальный район,3
Тоджинский муниципальный район,6
Токарёвский муниципальный округ,3
Томпонский муниципальный район,11
Томский муниципальный район,9
Тонкинский муниципальный округ,3
Тоншаевский муниципальный округ,3
Топкинский муниципальный округ,6
Топчихинский муниципальный район,5
Торбеевский муниципальный район,3
Тосненский муниципальный район,9
Тотемский муниципальный округ,10
Тоцкий муниципальный район,10
Третьяковский муниципальный район,0
Троицкий муниципальный район,0
Троицко-Печорский муниципальный район,0
Троснянский муниципальный район,3
Труновский муниципальный округ,3
Тужинский муниципальный район,0
Туймазинский муниципальный район,9
Туркменский муниципальный округ,0
Турковский муниципальный район,3
Турочакский муниципальный район,0
Туруханский муниципальный район,11
Тутаевский муниципальный район,9
Тындинский муниципальный округ,11
Тюкалинский муниципальный район,5
Тюльганский муниципальный район,3
Тюлячинский муниципальный район,5
Тюменский муниципальный район,9
Тюменцевский муниципальный район,0
Тюхтетский муниципальный округ,0
Тяжинский муниципальный округ,0
Убинский муниципальный район,5
Уватский муниципальный район,10
Увельский муниципальный район,3
Угличский муниципальный район,6
Угловский муниципальный район,3
Угранский муниципальный район,0
Удорский муниципальный район,3
Ужурский муниципальный район,3
Узловский муниципальный район,6
Уйский муниципальный район,0
Улаганский муниципальный район,6
Улуг-Хемский муниципальный район,6
Ульчский муниципальный район,3
Улётовский муниципальный район,3
Умётский муниципальный округ,5
Упоровский муниципальный район,3
Уренский муниципальный округ,6
Уржумский муниципальный район,0
Урицкий муниципальный район,10
