municipality,month,Total,level_z,Food,Health,Catering,Marketplace,Transport,Other,profile,admin_form
Аромашевский муниципальный район,2024-12-01,28021,-0.4746815652722586,0.48260233396381286,0.04261089896863067,0.0069947539345490885,0.2025623639413297,0.05246065450911816,0.2127689946825595,G,municipal_raion
Арсеньевский муниципальный район,2024-12-01,31596,-0.1117111526183985,0.4326180529180909,0.04241043170021522,0.015508292188884668,0.24651854665147488,0.041239397392074946,0.22170527914925942,G,municipal_raion
Арский муниципальный район,2024-12-01,24147,-0.9244609819078385,0.40100219488963434,0.047624963763614525,0.02720834886321282,0.17579823580569015,0.06982233817865573,0.27854391849919247,G,municipal_raion
Архангельский муниципальный район,2024-12-01,25860,-0.717284508065882,0.4348414539829853,0.04617169373549884,0.01388244392884764,0.18665893271461717,0.0434261407579273,0.27501933488012376,G,municipal_raion
Архаринский муниципальный округ,2024-12-01,33699,0.08307294723161782,0.45001335351197363,0.03525327161043355,0.012463277842072466,0.13632452001543072,0.06243508709457254,0.3035104899255171,F,municipal_okrug
Асекеевский муниципальный район,2024-12-01,25102,-0.807213285809764,0.414827503784559,0.04410007170743367,0.010995139829495657,0.24647438451119433,0.04529519560194407,0.2383077045653732,G,municipal_raion
Асиновский муниципальный район,2024-12-01,29945,-0.27394096520822175,0.48672566371681414,0.04157622307563867,0.016764067457004508,0.15451661379195192,0.04221071965269661,0.2582067123058941,G,municipal_raion
Аскинский муниципальный район,2024-12-01,23835,-0.9637730858850377,0.4233689951751626,0.044933920704845816,0.015817075728970002,0.17209985315712187,0.055422697713446614,0.28835745752045305,G,municipal_raion
Аткарский муниципальный район,2024-12-01,26566,-0.6358650603539893,0.44929609275013177,0.05100504404125574,0.015019197470450952,0.2188135210419333,0.039561845968531205,0.22630429872769697,G,municipal_raion
Атнинский муниципальный район,2024-12-01,19191,-1.61886196890097,0.4473972174456777,0.036892293262466784,0.02657495701109895,0.19910374654786098,0.04736595279037049,0.24266583294252508,G,municipal_raion
Атюрьевский муниципальный район,2024-12-01,22627,-1.1209941895930586,0.47836655323286337,0.044857913112653025,0.016970875502717992,0.2261457550713749,0.054094665664913597,0.1795642374154771,G,municipal_raion
Атяшевский муниципальный район,2024-12-01,23688,-0.9824738258070418,0.4642434988179669,0.050996285038838234,0.013002364066193853,0.1998902397838568,0.047745694022289766,0.22412191827085448,G,municipal_raion
Аургазинский муниципальный район,2024-12-01,19335,-1.5962647749352796,0.4122575640031032,0.06190845616757176,0.01665373674683217,0.14621153348849236,0.05073700543056633,0.31223170416343404,G,municipal_raion
Ахтубинский муниципальный район,2024-12-01,31862,-0.08636910403945183,0.39608310840499655,0.03941999874458603,0.018485970748854434,0.22591174439771514,0.04550875651245998,0.2745904211913879,G,municipal_raion
Ашинский муниципальный район,2024-12-01,33433,0.05911783318806934,0.4547602668022612,0.04393862351568809,0.018335177818323212,0.2009092812490653,0.03140609577363682,0.2506505548410254,G,municipal_raion
Бабаевский муниципальный округ,2024-12-01,32251,-0.04968712563490203,0.4593966078571207,0.02799913180986636,0.01903816935908964,0.1917149855818424,0.05069610244643577,0.2511550029456451,G,municipal_okrug
Бабушкинский муниципальный округ,2024-12-01,26640,-0.6274566226911734,0.467042042042042,0.033483483483483484,0.013963963963963964,0.17942942942942944,0.05191441441441441,0.25416666666666665,G,municipal_okrug
Бабынинский муниципальный район,2024-12-01,29739,-0.29480772143224676,0.40781465415783985,0.03318874205588621,0.019267628366791082,0.25777598439759236,0.03611419348330475,0.24583879753858573,G,municipal_raion
Бавлинский муниципальный район,2024-12-01,24031,-0.939017381879372,0.4085140027464525,0.038658399567225665,0.01826807040905497,0.17057134534559526,0.04818775747992177,0.31580042445174983,G,municipal_raion
Баганский муниципальный район,2024-12-01,31074,-0.16206872333391212,0.4727746669241166,0.03771641887108193,0.012647229194825256,0.2001351612280363,0.06803115144493789,0.20869537233700197,G,municipal_raion
Баевский муниципальный район,2024-12-01,25065,-0.8116721843580015,0.5281867145421903,0.0433672451625773,0.004907241172950329,0.20398962696987832,0.04963095950528625,0.16991821264711737,G,municipal_raion
Базарно-Карабулакский муниципальный район,2024-12-01,23681,-0.9833672295051913,0.48148304547949833,0.046999704404374815,0.009796883577551624,0.20983066593471558,0.042227946454963895,0.20966175414889587,G,municipal_raion
Базарносызганский муниципальный район,2024-12-01,27438,-0.5382375479421585,0.4871710766090823,0.04388074932575261,0.006122895254756178,0.2222465194256141,0.048509366571907575,0.19206939281288715,G,municipal_raion
Бай-Тайгинский муниципальный район,2024-12-01,24031,-0.939017381879372,0.42228787815738006,0.018392909159002956,0.026465814988972578,0.2107694228288461,0.09779035412592069,0.22429362073987757,C,municipal_raion
Байкаловский муниципальный район,2024-12-01,30501,-0.21832962099976164,0.4660175076227009,0.032621881249795086,0.009311170125569654,0.21612406150618013,0.043605127700731126,0.23232025179502314,G,municipal_raion
Баймакский муниципальный район,2024-12-01,25634,-0.743818251053736,0.4019661387220098,0.04646173051416088,0.034914566591246005,0.15221970820004682,0.06776156666926737,0.29667628930326917,G,municipal_raion
Бакалинский муниципальный район,2024-12-01,24103,-0.9299741266978246,0.46550221964070865,0.045056631954528484,0.01983155623781272,0.17947973281334273,0.0579595900925196,0.23217026926108775,G,municipal_raion
Бакчарский муниципальный район,2024-12-01,30826,-0.18629057134856308,0.4355089859209758,0.0341594757672095,0.007850515798352041,0.24654512424576655,0.04522156621034192,0.23071433205735414,G,municipal_raion
Балаганский муниципальный район,2024-12-01,30600,-0.20853401799630514,0.47660130718954247,0.035980392156862745,0.008856209150326798,0.2192156862745098,0.04310457516339869,0.21624183006535946,G,municipal_raion
Балаковский муниципальный район,2024-12-01,37818,0.431656844379942,0.3994394203818288,0.045613200063461846,0.03842085779258554,0.1748902638954995,0.05217092389867259,0.2894653339679517,D,municipal_raion
Балахнинский муниципальный округ,2024-12-01,40428,0.6333928561788952,0.40026714158504006,0.04924804590877609,0.028198278420896408,0.1910804392994954,0.04860492727812407,0.28260116750766806,F,municipal_okrug
Балахтинский муниципальный район,2024-12-01,33287,0.04588839411513719,0.43133956199116774,0.041397542584192024,0.04169796016462884,0.2057560008411692,0.059632889716706224,0.22017604470213603,F,municipal_raion
Балашовский муниципальный район,2024-12-01,32648,-0.012704151127561741,0.40370007351139425,0.05161112472433227,0.03170178877726047,0.2020338152413624,0.05785959323695173,0.2530936045086988,F,municipal_raion
Балейский муниципальный район,2024-12-01,35211,0.2157461368021811,0.44043054727215925,0.047456760671381104,0.019141745477265628,0.14745392064979693,0.05981085456249467,0.28570617136690246,F,municipal_raion
Балтайский муниципальный район,2024-12-01,25847,-0.7188044882970583,0.45831237667814445,0.04244206290865478,0.006151584323132279,0.22668007892598754,0.046310983866599605,0.22010291329748144,G,municipal_raion
Балтасинский муниципальный район,2024-12-01,22015,-1.2038797555541174,0.4098569157392687,0.05182829888712242,0.024256188962071316,0.1819668407903702,0.08644106291165114,0.24565069270951623,G,municipal_raion
Балтачевский муниципальный район,2024-12-01,22004,-1.2053905189058298,0.4533266678785675,0.05126340665333576,0.023450281766951464,0.14706417015088166,0.0583984730049082,0.2664970005453554,G,municipal_raion
Барабинский муниципальный район,2024-12-01,32589,-0.018171818269674855,0.448372150112001,0.0394304826782043,0.02338212280217251,0.1682776396943754,0.05738132498695879,0.26315627972628797,F,municipal_raion
Барун-Хемчикский муниципальный район,2024-12-01,24404,-0.8924585546252123,0.40411407965907226,0.008441239141124405,0.025323717423373217,0.19742665136862808,0.1120717915095886,0.2526225208982136,C,municipal_raion
Барышский муниципальный район,2024-12-01,24692,-0.8569939372874557,0.46055402559533454,0.044589340677142396,0.010489227280090718,0.22242021707435608,0.04657378908148388,0.21537340029159235,G,municipal_raion
Барятинский муниципальный район,2024-12-01,32302,-0.04491075790606524,0.4858213113739087,0.04021422822116277,0.00897777227416259,0.2779084886384744,0.04922295833075351,0.1378552411615379,G,municipal_raion
Батыревский муниципальный округ,2024-12-01,20469,-1.4239796441402317,0.38590063022131027,0.05051541355220089,0.020763105183448143,0.16713078313547317,0.06590453857052128,0.3097855293370463,G,municipal_okrug
Башмаковский муниципальный район,2024-12-01,26749,-0.6151136651764302,0.4398669109125575,0.0443007215222999,0.010505065609929342,0.2505514224830835,0.03966503420688624,0.2151108452652435,G,municipal_raion
Баяндаевский муниципальный район,2024-12-01,26976,-0.5895692516227826,0.3919039145907473,0.032732799525504154,0.021241103202846976,0.1797523724792408,0.08644721233689205,0.2879225978647687,C,municipal_raion
Бежаницкий муниципальный район,2024-12-01,28653,-0.40726057378127617,0.4813806582207797,0.03933270512686281,0.02554706313475029,0.2033294942937912,0.03961190800265243,0.2107981712211635,G,municipal_raion
Безенчукский муниципальный район,2024-12-01,32657,-0.011870968899908789,0.40821263435098143,0.04210429616927458,0.03285666166518664,0.21881985485500813,0.038031662430719294,0.25997489052882994,F,municipal_raion
Бейский муниципальный район,2024-12-01,37309,0.39069567939063243,0.42520571443887534,0.03283390066739929,0.018092149347342466,0.18574606663271598,0.06856254523037336,0.26955962368329356,F,municipal_raion
Бековский муниципальный район,2024-12-01,28894,-0.38194190819983165,0.4279435176853326,0.05177545511178792,0.025437807157195267,0.26289194988578946,0.042673219353499,0.1892780508063957,G,municipal_raion
Белебеевский муниципальный район,2024-12-01,34976,0.19550398280420522,0.3837774473924977,0.050005718206770355,0.0369967978042086,0.16082456541628545,0.05323650503202196,0.3151589661482159,F,municipal_raion
Белевский муниципальный район,2024-12-01,33621,0.07606816547339967,0.40968442342583505,0.04366318669878945,0.010826566729127629,0.2629011629636239,0.04089705838612772,0.23202760179649629,G,municipal_raion
Белинский муниципальный район,2024-12-01,24683,-0.8580959315281578,0.43349673864603167,0.05420734918770004,0.005550378803224892,0.23984118624154277,0.042498885872867966,0.2244054612486327,G,municipal_raion
Беловский муниципальный округ,2024-12-01,33608,0.0748991220972173,0.44831587717210186,0.0435015472506546,0.024131159247798142,0.2150975958105213,0.05451083075458224,0.21444298976434184,F,municipal_okrug
Белогорский муниципальный округ,2024-12-01,40620,0.6477148558017964,0.42122107336287545,0.03931560807483998,0.018931560807483996,0.12693254554406697,0.05411127523387494,0.33948793697685875,F,municipal_okrug
Белокатайский муниципальный район,2024-12-01,27313,-0.5520402028833475,0.3864094021162084,0.05250247135063889,0.010397978984366419,0.18134221799143266,0.052172957932120234,0.31717497162523345,G,municipal_raion
Беломорский муниципальный округ,2024-12-01,40784,0.6598947245743252,0.42001765398195373,0.03631326010200078,0.011426049431149471,0.2075814044723421,0.03506276971361318,0.2895988622989407,G,municipal_okrug
Белорецкий муниципальный район,2024-12-01,34137,0.12210881457610133,0.40463426780326334,0.04517092890412163,0.03673433517883821,0.15689720830770132,0.06066731112868735,0.2958959486773881,F,municipal_raion
Белохолуницкий муниципальный район,2024-12-01,23145,-1.0525727305112544,0.5528623892849428,0.040786346943184275,0.007474616547850508,0.17999567941240008,0.03620652408727587,0.1826744437243465,G,municipal_raion
Белоярский муниципальный район,2024-12-01,42594,0.7911567965784712,0.3637601540123022,0.0332675963750763,0.05362257594966427,0.18993285439263746,0.03909001267784195,0.3203268065924778,A,municipal_raion
Беляевский муниципальный район,2024-12-01,21544,-1.269253573913946,0.4188637207575195,0.03908280727812848,0.013043074637950241,0.2113349424433717,0.02149090233939844,0.29618455254363163,G,municipal_raion
Бердюжский муниципальный район,2024-12-01,30412,-0.2271629467336745,0.44715901617782455,0.038504537682493754,0.006905169012232014,0.2241220570827305,0.05537287912666053,0.2279363409180586,G,municipal_raion
Бессоновский муниципальный район,2024-12-01,30431,-0.22527501226989374,0.38641516874240084,0.044099766685288026,0.029180769609937235,0.2105418816338602,0.06207485787519306,0.26768755545332057,F,municipal_raion
Бижбулякский муниципальный район,2024-12-01,24010,-0.9416601021910805,0.4420241566014161,0.05214493960849646,0.025947521865889212,0.16497292794668889,0.056518117451062055,0.25839233652644733,G,municipal_raion
Бийский муниципальный район,2024-12-01,32791,0.0005071013955740337,0.43487542313439664,0.043365557622518376,0.02741605928455979,0.17053459790796255,0.06849440395230398,0.25531395809825863,F,municipal_raion
Бикинский муниципальный район,2024-12-01,46104,1.0305236778390832,0.43109057782404997,0.025377407600208225,0.022254034357105674,0.15480218636127016,0.04650355717508242,0.3199722366822835,A,municipal_raion
Билибинский муниципальный район,2024-12-01,80882,2.7296317752796773,0.38833114908137784,0.03209614005588388,0.029808857347741153,0.08124180905516679,0.03254123290719814,0.43598081155263224,A,municipal_raion
Бирилюсский муниципальный район,2024-12-01,27034,-0.5830769617485219,0.4574979655248946,0.04091144484722942,0.0035880742768365764,0.24964859066360878,0.03625064733298809,0.21210327735444257,G,municipal_raion
Биробиджанский муниципальный район,2024-12-01,39576,0.5690073326260588,0.41911764705882354,0.0311805134424904,0.03214069132807762,0.15395694360218315,0.039796846573681016,0.32380735799474436,A,municipal_raion
Бирский муниципальный район,2024-12-01,33604,0.07453932546634857,0.3897155100583264,0.04401261754553029,0.04433995952862754,0.16381978335912392,0.06359361980716581,0.29451850970122595,F,municipal_raion
Благоварский муниципальный район,2024-12-01,25457,-0.7647629691726556,0.4737793141375653,0.044506422594964054,0.021840751070432495,0.17225124720116275,0.051930706681855676,0.23569155831401978,G,municipal_raion
Благовещенский муниципальный округ,2024-12-01,53235,1.4652562872510484,0.36962524654832346,0.0442753827369212,0.04808866347327886,0.09839391377852916,0.07940264863341787,0.3602141448295295,A,municipal_okrug
Благодарненский муниципальный округ,2024-12-01,29457,-0.3236084816426588,0.37206775978545,0.04776453814034016,0.016736259632684932,0.24119903588281225,0.05394303561122993,0.26828937094748273,G,municipal_okrug
Богатовский муниципальный район,2024-12-01,29018,-0.3689970378700686,0.4320077193466125,0.03904473085670963,0.01219932455717141,0.2665242263422703,0.03346198911020746,0.21676200978702864,G,municipal_raion
Богородицкий муниципальный район,2024-12-01,36622,0.33451505307327484,0.400278521107531,0.046174430670089014,0.02004259734585768,0.21754682977445253,0.04461798918682759,0.27133963191524224,G,municipal_raion
Богородский муниципальный округ,2024-12-01,39796,0.5857644915486411,0.39307970650316615,0.04621067443964218,0.029450195999597948,0.1971554930143733,0.055683988340536734,0.2784199417026837,F,municipal_okrug
Боградский муниципальный район,2024-12-01,25200,-0.7954349131371897,0.5196031746031746,0.027103174603174605,0.007619047619047619,0.22345238095238096,0.040912698412698414,0.1813095238095238,G,municipal_raion
Богучанский муниципальный район,2024-12-01,42733,0.8010053541272019,0.41717174080921066,0.03772260314043011,0.014157676736948026,0.22467413942386447,0.04687244050265603,0.25940139938689066,G,municipal_raion
Бокситогорский муниципальный район,2024-12-01,39993,0.6006913359513361,0.40987172755232165,0.03798164678818793,0.024604305753506864,0.2288150426324607,0.03280574100467582,0.26592153626884707,G,municipal_raion
Болотнинский муниципальный район,2024-12-01,33426,0.05848486470777199,0.42251540716807273,0.037485789505175615,0.023065876862322744,0.18739903069466882,0.055196553581044694,0.2743373421887154,F,municipal_raion
Болховский муниципальный район,2024-12-01,26322,-0.6637570620314007,0.42576551933743634,0.043081832687485756,0.010751462654813464,0.23873565838462124,0.04087835270876073,0.24078717422688245,G,municipal_raion
Большеберезниковский муниципальный район,2024-12-01,19869,-1.5139113516878275,0.4925763752579395,0.05224218632039861,0.0035230761487744728,0.17046655594141627,0.0446927374301676,0.23649906890130368,G,municipal_raion
Большеболдинский муниципальный округ,2024-12-01,30772,-0.191590514103602,0.44283764461198494,0.05738983491485766,0.006239438450539451,0.226309632133108,0.05102040816326531,0.2162030417262446,G,municipal_okrug
Большеглушицкий муниципальный район,2024-12-01,28998,-0.371081174322372,0.41378715773501623,0.04452031174563763,0.006724601696668736,0.22884336850817297,0.05238292296020415,0.2537416373543002,G,municipal_raion
Большемурашкинский муниципальный округ,2024-12-01,27750,-0.504058616225296,0.45722522522522524,0.05225225225225225,0.006558558558558559,0.23917117117117118,0.027783783783783784,0.217009009009009,G,municipal_okrug
Большемуртинский муниципальный район,2024-12-01,29216,-0.3484412484078301,0.48086664841182913,0.041894852135815994,0.012527382256297919,0.16333515881708652,0.047097480832420595,0.25427847754654986,G,municipal_raion
Большереченский муниципальный район,2024-12-01,25218,-0.7932765186215809,0.5213339678007772,0.04484891743992386,0.022761519549528115,0.17610436989451977,0.04675231977159172,0.18819890554365926,G,municipal_raion
Большесельский муниципальный район,2024-12-01,30131,-0.2552230600485709,0.4360293385549766,0.0381002953768544,0.004115362915269987,0.25332713816335334,0.0304337725266337,0.23799409246291203,G,municipal_raion
Большеуковский муниципальный район,2024-12-01,23472,-1.0101640779755217,0.5034509202453987,0.04418029993183367,0.004984662576687116,0.20300783912747103,0.06701601908657123,0.17736025903203823,G,municipal_raion
Большеулуйский муниципальный район,2024-12-01,25221,-0.7929169359897786,0.47615082669204234,0.027992545894294438,0.019666151223187028,0.2714404662781016,0.02997502081598668,0.1747749890963879,G,municipal_raion
Большечерниговский муниципальный район,2024-12-01,29200,-0.3500971407476059,0.37760273972602737,0.038972602739726026,0.014212328767123288,0.24791095890410958,0.047636986301369866,0.2736643835616439,G,municipal_raion
Бондарский муниципальный округ,2024-12-01,20342,-1.4427932397809085,0.487218562579884,0.05810638088683512,0.007767181201455117,0.19211483629928228,0.04134303411660604,0.21345000491593746,G,municipal_okrug
Борзинский муниципальный район,2024-12-01,38723,0.5031424508295834,0.42331430932520725,0.036696536941869175,0.027167316581876405,0.14391963432585286,0.05399891537329236,0.3149032874519019,F,municipal_raion
Борисоглебский муниципальный район,2024-12-01,31912,-0.08162919120657146,0.4403045876159438,0.04267986964151416,0.012910503885685636,0.22850338430684383,0.043901980446227125,0.23169967410378534,G,municipal_raion
Боровичский муниципальный район,2024-12-01,38335,0.4727012638916911,0.41035607147515324,0.04494587191861223,0.02671188209208295,0.1887309247424025,0.049276118429633496,0.2799791313421156,F,municipal_raion
Боровский муниципальный район,2024-12-01,42109,0.7565396225250071,0.38768434301455745,0.046902087439739726,0.03569308223895129,0.20603671424161105,0.0580398489634045,0.265643924101736,F,municipal_raion
Борский муниципальный район,2024-12-01,30825,-0.18638863403662878,0.43721005677210056,0.0383779399837794,0.008953771289537713,0.2682887266828873,0.03224655312246553,0.21492295214922952,G,municipal_raion
Боханский муниципальный район,2024-12-01,27882,-0.48971383292177656,0.42084498959902444,0.03912918728929058,0.0178251201492002,0.16878272720751739,0.061258159385983786,0.2921598163689836,G,municipal_raion
Братский муниципальный район,2024-12-01,27933,-0.48418971059520166,0.45000536999248203,0.02914115920237712,0.01886657358679698,0.18544374037876346,0.035048150932588694,0.2814950059069916,G,municipal_raion
Брединский муниципальный район,2024-12-01,27673,-0.5124579510443608,0.39117551403895495,0.042821522783941024,0.008708849781375348,0.22411737072236476,0.035377443717703176,0.2977992989556607,G,municipal_raion
Брейтовский муниципальный район,2024-12-01,30646,-0.2039933044764843,0.4510866018403707,0.042158846178946684,0.005645108660184037,0.2976244860666971,0.05811525158258827,0.14536970567121332,G,municipal_raion
Бугульминский муниципальный район,2024-12-01,34989,0.196627310426045,0.4111292120380691,0.0417845608619852,0.042070364971848295,0.16633799194032411,0.05561747977935923,0.283060390408414,F,municipal_raion
Бугурусланский муниципальный район,2024-12-01,30358,-0.23253510200962263,0.4169576388431385,0.05151854535871928,0.03350023058172475,0.2066671058699519,0.059588905725014824,0.23176757362145073,G,municipal_raion
Будённовский муниципальный округ,2024-12-01,36816,0.3504858217197072,0.35620382442416343,0.04859300304215559,0.027216427640156454,0.22120817036071275,0.06429269882659713,0.28248587570621464,F,municipal_okrug
Буздякский муниципальный район,2024-12-01,24615,-0.8664351203362689,0.4341255332114564,0.047328864513508026,0.025634775543367867,0.16717448710136096,0.05821653463335365,0.26751980499695305,G,municipal_raion
Буинский муниципальный район,2024-12-01,24997,-0.819884108011972,0.4343321198543825,0.04364523742849142,0.0270832499899988,0.16938032563907668,0.06592791134936192,0.25963115573868867,G,municipal_raion
Буйский муниципальный район,2024-12-01,28580,-0.4149717477957346,0.4770818754373688,0.0327851644506648,0.011546536039188244,0.19237228831350595,0.03589923023093072,0.25031490552834157,G,municipal_raion
Булунский муниципальный район,2024-12-01,61696,1.91113305908764,0.4174176607883817,0.02051996887966805,0.04060230809128631,0.046323910788381745,0.015641208506224066,0.4594949429460581,A,municipal_raion
Бураевский муниципальный район,2024-12-01,22953,-1.0777533016043142,0.45057290985927767,0.0413017906156058,0.017252646712847992,0.16359517274430357,0.0638696466692807,0.26340783339868423,G,municipal_raion
